sta;c;err;ch
AGST;-0.023;0.02;***
ALJA;0.078;0.048;***
AMUR;0.029;0.018;***
AOI;0.086;0.017;***
APPI;-0.316;0.023;***
AQU;0.075;0.017;***
ARCI;0.519;0.02;***
ARVD;0.245;0.022;***
BADI;0.093;0.018;***
BDI;0.15;0.018;***
BERNI;0.06;0.038;***
BLB;0.044;0.038;***
BNI;0.393;0.027;***
BRMO;0.191;0.019;***
BSSO;0.158;0.019;*N*
BULG;0.101;0.028;***
CAFE;0.085;0.02;***
CAFI;0.296;0.041;***
CAMP;0.195;0.018;***
CARO;-0.128;0.021;***
CASP;0.366;0.035;***
CDRU;0.422;0.018;***
CEL;0.194;0.021;***
CERA;0.012;0.021;***
CERT;0.168;0.016;***
CGRP;-0.363;0.043;***
CIGN;0.23;0.018;***
CII;0.106;0.028;***
CING;0.138;0.015;***
CLLN;-0.069;0.052;***
CLTB;-0.369;0.044;***
CMPO;-0.537;0.034;***
CMPR;0.345;0.019;***
CORL;-0.08;0.028;***
CRAC;-0.24;0.023;***
CRE;0.163;0.017;***
CRMI;0.429;0.025;*H*
CSNT;0.303;0.017;***
CTI;-0.319;0.02;***
CUC;0.161;0.018;***
DAVOX;-0.048;0.021;***
DIX;0.026;0.025;***
DOI;-0.181;0.022;***
ECNV;-0.124;0.031;***
EMV;0.096;0.03;***
ERBM;0.182;0.018;***
ESLN;-0.052;0.023;***
FAEN;-0.261;0.029;***
FAGN;-0.228;0.016;***
FDMO;0.193;0.035;***
FIAM;0.128;0.016;***
FIU;-0.357;0.022;***
FNVD;0.019;0.018;***
FSSB;-0.213;0.019;***
FUORN;-0.009;0.023;***
FVI;-0.138;0.018;***
GIUL;0.323;0.019;***
GROG;0.183;0.03;***
GUAR;0.163;0.023;***
GUMA;-0.409;0.051;***
HAGA;0.04;0.023;***
HAVL;-0.283;0.02;***
HCRL;0.034;0.043;***
HMDC;-0.218;0.024;***
HVZN;-0.379;0.02;***
IACL;-0.15;0.029;***
ILLI;-0.55;0.019;***
IMI;0.034;0.048;***
INTR;-0.125;0.015;***
JOPP;0.247;0.022;***
LPEL;0.059;0.041;***
LSD;0.154;0.053;***
LTRZ;0.045;0.035;***
MABI;0.197;0.019;***
MAGA;-0.65;0.026;***
MAIM;0.245;0.023;***
MAON;0.452;0.021;***
MATE;0.031;0.038;***
MCEL;0.162;0.023;***
MDI;-0.093;0.02;***
MGR;0.192;0.02;***
MIDA;0.189;0.017;***
MIGL;-0.499;0.024;***
MMK;0.082;0.024;***
MMME;0.025;0.017;***
MNO;-0.136;0.059;***
MNS;0.188;0.016;***
MODR;0.254;0.038;***
MONC;-0.334;0.024;***
MPAZ;0.105;0.023;***
MRB1;-0.109;0.021;***
MRGE;-0.064;0.026;***
MRLC;0.263;0.017;***
MRVN;0.253;0.026;***
MSAG;-0.237;0.022;***
MSRU;-0.1;0.017;***
MTCE;0.285;0.018;***
MTRZ;-0.071;0.028;***
MTTG;0.045;0.028;***
MUGIO;0.066;0.022;***
MURB;-0.349;0.015;***
NOCI;-0.093;0.019;***
NOVE;-0.299;0.026;***
ORI;-0.241;0.023;***
PALZ;-0.252;0.024;***
PARC;0.202;0.034;***
PCP;0.121;0.03;***
PESA;-0.079;0.018;***
PIEI;0.314;0.022;***
POFI;0.315;0.032;***
PTCC;-0.047;0.032;***
PTRJ;0.162;0.025;***
PTRP;-0.082;0.032;***
PZUN;0.069;0.051;***
PZZ;-0.089;0.038;***
PZZT;0.09;0.026;***
QLNO;0.138;0.032;***
RAFF;-0.037;0.024;***
RAVA;-0.343;0.018;***
RESU;0.139;0.042;***
RNI2;0.02;0.017;***
ROM9;-0.095;0.024;***
RORO;0.311;0.055;***
RSM;0.089;0.016;***
RSP;0.127;0.032;***
SACR;0.231;0.018;***
SBPO;-0.366;0.027;***
SC2M;-0.128;0.027;***
SCHR;0.363;0.02;***
SCTE;-0.216;0.03;***
SERS;0.298;0.02;***
SEST;-0.326;0.039;***
SFI;0.179;0.015;***
SGG;0.186;0.021;***
SGRT;-0.037;0.022;***
SGTA;0.139;0.023;***
SIRI;0.136;0.024;***
SLCN;-0.078;0.037;***
SOI;0.25;0.018;***
SSY;-0.268;0.019;***
STR4;0.054;0.057;***
TERO;0.057;0.015;***
TIP;0.361;0.02;***
TOLF;0.322;0.019;***
TRAV;-0.069;0.034;***
TRI;0.025;0.024;***
TRIV;0.142;0.019;***
TRTR;-0.444;0.028;***
TUE;-0.047;0.02;***
USI;-0.295;0.03;***
VAGA;0.183;0.017;***
VCEL;-0.118;0.018;***
VENT;0.19;0.032;***
VLC;0.321;0.018;***
VTB1;-0.014;0.052;***
VULT;-0.071;0.022;***
WDD;-0.147;0.03;***
ACER;-0.057;0.015;***
ACOM;-0.421;0.021;***
AGOR;-0.024;0.025;***
ARSA;0.455;0.049;***
ASQU;0.199;0.012;***
BOB;0.025;0.016;***
BSSO;0.591;0.018;*H*
CAFR;0.087;0.031;***
CESI;0.099;0.026;***
CRMI;0.289;0.021;*N*
FRES;0.355;0.032;***
FUSIO;0.026;0.023;***
GALF;0.004;0.015;***
GEPF;-0.041;0.036;***
IVPL;-0.654;0.017;***
LATE;-0.301;0.086;***
LNSS;-0.051;0.014;***
MCRV;0.086;0.028;***
MELA;-0.227;0.012;***
MGAB;-0.095;0.011;***
MILZ;-0.112;0.019;***
MOCO;0.415;0.015;***
MSCL;-0.226;0.015;***
MTSN;0.166;0.013;***
NRCA;0.055;0.015;***
OFFI;-0.308;0.019;***
PALA;-0.606;0.121;***
PIPA;0.174;0.016;***
PLAC;0.094;0.011;***
PRMA;-0.106;0.037;***
PSB1;0.265;0.019;***
RDP;-0.372;0.02;***
SABO;-0.412;0.019;*H*
SABO;-1.026;0.023;*N*
SACS;0.128;0.01;***
SALO;-0.332;0.016;***
SNAL;0.078;0.015;***
STV;0.324;0.024;***
VINO;0.041;0.044;***
VVLD;0.172;0.019;***
WTTA;-0.221;0.034;***
ZCCA;0.125;0.016;***
ABSI;-0.435;0.023;***
AIO;0.117;0.026;***
AJAC;0.178;0.047;***
AM05;1.188;0.137;*HN
AM05;0.702;0.03;*N*
AM05;0.111;0.042;*HE
APEC;-0.047;0.016;***
APRC;-0.081;0.02;***
ARRO;0.308;0.017;***
ASSB;0.136;0.016;***
ATBU;-0.226;0.04;***
ATCC;-0.079;0.013;***
ATFO;0.085;0.014;***
ATMC;-0.009;0.025;***
ATMI;-0.196;0.015;***
ATN;-0.041;0.042;***
ATPC;-0.017;0.015;!(*NE)
ATPI;0.145;0.013;***
ATTE;0.188;0.013;***
ATVO;0.099;0.011;***
BHB;0.098;0.032;***
BIOG;0.012;0.056;***
BLLA;0.01;0.036;***
BLY;-0.296;0.031;***
BNALP;-0.042;0.025;***
BOJS;-0.516;0.035;***
BOSI;-0.322;0.043;***
BRES;-0.102;0.051;***
BRIS;0.021;0.027;***
BRSN;-0.336;0.051;***
BURY;0.092;0.06;***
CADA;-0.333;0.027;***
CAGR;-0.118;0.019;***
CANO;-0.266;0.038;***
CAPA;-0.121;0.038;***
CAR1;-0.158;0.016;***
CARD;0.133;0.016;***
CARE;0.124;0.031;***
CAVE;-0.316;0.046;***
CDCA;0.12;0.024;*H*
CDCA;-0.283;0.031;*N*
CELB;0.517;0.033;***
CELI;0.232;0.026;*N*
CELI;-0.097;0.017;*H*
CESX;0.173;0.018;***
CET2;-0.175;0.02;***
CIMA;-0.282;0.053;***
CIMO;0.162;0.026;***
CIRO;0.183;0.033;***
CLTA;-0.183;0.038;***
CLUD;-0.105;0.038;***
CNCS;-0.069;0.173;***
COR1;-0.203;0.018;***
CPGN;0.038;0.016;***
CRM1;-0.349;0.048;***
CSLB;0.475;0.035;***
CSP1;-0.015;0.023;***
CTL8;0.225;0.049;*H*
CTL8;-0.328;0.053;*N*
DOSS;-0.281;0.014;***
EL6;-0.113;0.016;***
EMSG;-0.275;0.029;***
ENR;0.128;0.022;***
EPOZ;-0.066;0.031;***
EPZF;-0.232;0.03;***
EQUI;0.349;0.015;***
ESML;-0.007;0.026;***
FAVR;-0.02;0.031;***
FEMA;0.04;0.028;***
FERS;-0.471;0.152;***
FINB;0.214;0.036;***
FIR;-0.132;0.049;***
FIU1;0.371;0.036;***
FOSV;0.215;0.016;***
FRON;0.138;0.014;***
FROS;0.042;0.017;***
GAG1;-0.24;0.026;***
GAGG;-0.216;0.018;***
GATE;0.275;0.015;***
GBOS;0.29;0.024;***
GIB;-0.215;0.019;***
GIGS;0.685;0.02;***
GIMEL;0.16;0.038;***
GMB;-0.477;0.022;***
GORR;0.007;0.02;***
GRAM;-0.181;0.016;***
GRI;0.132;0.016;***
GSCL;0.052;0.03;***
HBSP;-0.421;0.052;***
HLNI;0.105;0.023;***
HPAC;-0.345;0.023;***
IFIL;-0.545;0.031;***
IMOL;0.754;0.051;*H*
IMOL;-0.14;0.03;*N*
IST3;0.024;0.039;***
ISTR;-0.068;0.034;***
KEK;0.471;0.063;***
KOGS;-0.695;0.069;***
KOSI;-0.176;0.022;***
LATB;0.636;0.016;***
LAV9;-0.34;0.019;***
LIK;-0.121;0.023;***
LJU;-1.092;0.032;***
LMD;0.163;0.017;***
LRP;0.287;0.022;***
LUSI;-0.337;0.016;***
MA9;-0.166;0.024;***
MAGO;0.324;0.074;***
MCIV;0.428;0.013;***
MCPD;0.192;0.049;***
MCSR;-0.36;0.022;***
MCT;0.074;0.074;***
MDAR;0.189;0.027;***
MESG;-0.164;0.062;***
MEU;-0.235;0.075;***
MF5;-0.061;0.08;***
MGRO;0.064;0.025;***
MILN;-0.26;0.065;***
MMN;0.445;0.034;***
MMUR;-0.088;0.033;***
MNTP;-0.165;0.028;***
MOCL;0.126;0.039;***
MODE;-0.425;0.057;***
MOMA;0.043;0.014;***
MOSI;-0.491;0.021;***
MPAG;0.159;0.01;***
MPNC;-0.303;0.016;***
MPPT;0.203;0.022;***
MPRI;-0.405;0.035;***
MSFR;0.425;0.019;***
MSSA;0.23;0.015;***
MTCR;0.087;0.016;***
MTL1;-0.208;0.038;***
MTMR;0.111;0.056;***
MTRA;0.013;0.072;***
MUCR;-0.02;0.026;***
NARO;0.341;0.014;***
NDIM;0.077;0.122;***
NEGI;0.019;0.034;***
NOV;-0.019;0.023;***
OPPE;-0.396;0.053;***
ORIF;0.091;0.071;***
ORZI;-0.092;0.105;***
OSSC;0.205;0.012;***
OZOL;-0.412;0.066;***
PAOL;0.259;0.013;***
PCRO;-0.239;0.095;***
PDG;-0.172;0.035;***
PE3;-0.259;0.034;***
PETRA;0.035;0.031;***
PGF;0.423;0.061;***
PIGN;0.353;0.012;***
PII;0.015;0.02;***
PIO1;0.22;0.038;***
PLLN;-0.279;0.032;***
PLMA;0.254;0.019;***
PLONS;0.1;0.028;***
POLC;-0.469;0.028;***
POPM;0.099;0.018;***
PP3;-0.337;0.017;***
PTQR;0.444;0.016;***
PUK;-0.183;0.092;***
RCAV;0.042;0.021;***
REMY;-0.095;0.044;***
RISI;-0.625;0.022;***
RM29;-0.218;0.089;***
RM32;0.026;0.09;***
RM33;0.107;0.014;***
RMP;-0.066;0.015;***
RNCA;0.361;0.03;***
RONC;-0.433;0.074;***
ROSI;-0.411;0.028;***
ROTM;-0.56;0.031;***
ROVR;0.153;0.02;*H*
ROVR;-0.284;0.026;*N*
RRL;0.213;0.025;***
RSM2;0.153;0.046;***
RUFI;0.192;0.014;***
SALB;0.227;0.012;***
SAMA;0.111;0.049;***
SAOF;0.024;0.024;***
SARM;-0.144;0.028;***
SARZ;-0.318;0.046;***
SASS;0.315;0.033;***
SATI;0.154;0.035;***
SEF1;0.04;0.022;***
SEI;-0.211;0.018;***
SENI;0.038;0.026;*H*
SENI;-0.527;0.026;*N*
SERM;-0.007;0.039;***
SF01;0.098;0.026;***
SF04;0.297;0.032;***
SMA1;-0.097;0.016;***
SMPL;0.753;0.055;***
SNTG;0.279;0.013;***
SOLUN;0.392;0.027;***
SPS2;0.447;0.032;***
SRES;0.354;0.018;***
SRN;0.162;0.072;***
SSFR;-0.121;0.012;***
SSP9;0.084;0.022;***
STAL;-0.306;0.016;***
STON;0.145;0.039;***
T0104;-0.096;0.035;***
T0110;-0.129;0.013;***
T0502;0.109;0.09;***
T0701;0.126;0.075;***
T0702;0.274;0.037;***
T0721;-0.122;0.058;***
T0813;-0.066;0.147;***
T0911;-0.032;0.063;***
T1204;0.084;0.046;***
T1211;0.089;0.025;***
T1212;0.13;0.031;***
T1214;0.159;0.04;***
T1215;0.494;0.017;***
T1216;-0.042;0.041;***
T1217;0.263;0.021;***
T1218;0.072;0.029;***
T1219;0.112;0.037;***
T1220;-0.465;0.046;***
T1221;0.213;0.051;***
T1222;0.188;0.044;***
T1241;0.032;0.023;***
T1243;-0.158;0.049;***
T1245;-0.269;0.033;***
T1247;0.002;0.028;***
T1256;0.002;0.031;***
T1299;0.205;0.029;***
TAR1;-0.068;0.034;***
TDS;0.507;0.03;***
TEOL;-0.578;0.022;***
TRE1;-0.194;0.032;***
TREG;-0.254;0.076;***
TREM;-0.302;0.041;***
TRIF;0.319;0.011;***
VARA;-0.449;0.036;***
VARE;-0.053;0.023;***
VARN;-0.401;0.03;***
VBKN;-0.31;0.055;***
VITU;0.514;0.026;*NE
VITU;0.046;0.015;!(*NE)
VIVA;-0.317;0.022;***
VLS;0.176;0.083;***
VOBA;-0.132;0.07;***
VSL;0.189;0.039;***
VTIR;0.326;0.048;***
ZIAN;-0.259;0.069;***
ZONE;0.365;0.042;*N*
ZONE;-0.171;0.029;*H*
ZOU2;-0.152;0.033;***
ZOVE;0.092;0.064;***
